experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_npp_l2d0.04_l1d0.02_mask0.3_fpn15_18_21,317,7494.88,0.55945,0.36348,0.93182,0.99495,0.97909,0.99423,0.87196,0.60897,0.30667,0.95973,0.000363239,0.000363239,0.000363239
train_npp_l2d0.04_l1d0.04_mask0.1_fpn15_18_21,368,8688.24,0.50174,0.32602,0.89545,0.97711,1,0.995,0.87726,0.57059,0.28172,0.9549,0.000152822,0.000152822,0.000152822
train_npp_l2d0.04_l1d0.04_mask0.2_fpn15_18_21,373,8808.93,0.50813,0.35473,0.90973,0.99041,1,0.995,0.87874,0.59868,0.28222,0.96096,0.000132193,0.000132193,0.000132193
train_npp_l2d0.04_l1d0.04_mask0.3_fpn15_18_21,240,5673.19,0.6558,0.43614,0.93963,0.9916,1,0.995,0.87249,0.59823,0.32719,0.97554,0.000680928,0.000680928,0.000680928
train_npp_l2d0.04_l1d0.06_mask0.1_fpn15_18_21,271,6410.09,0.64215,0.41765,1.02172,0.96923,1,0.99346,0.86917,0.59065,0.3351,0.9535,0.000553027,0.000553027,0.000553027
train_npp_l2d0.04_l1d0.06_mask0.2_fpn15_18_21,276,6521.67,0.59176,0.39972,0.91887,0.97436,1,0.99423,0.87256,0.5935,0.32139,0.96859,0.000532398,0.000532398,0.000532398
train_npp_l2d0.04_l1d0.06_mask0.3_fpn15_18_21,346,8183.76,0.55568,0.37259,0.92079,0.97543,1,0.99423,0.8737,0.57796,0.30348,0.9484,0.00024359,0.00024359,0.00024359
train_npp_l2d0.04_l1d0.08_mask0.1_fpn15_18_21,252,5949.14,0.64428,0.40306,0.95626,0.99099,0.99856,0.995,0.87113,0.63084,0.34578,0.97342,0.000631418,0.000631418,0.000631418
train_npp_l2d0.04_l1d0.08_mask0.2_fpn15_18_21,271,6394.93,0.63252,0.42561,1.01899,0.9718,1,0.99346,0.87424,0.60634,0.32679,0.96983,0.000553027,0.000553027,0.000553027
train_npp_l2d0.04_l1d0.08_mask0.3_fpn15_18_21,355,8385.99,0.57174,0.35397,0.93265,0.97433,1,0.99423,0.88079,0.57945,0.30964,0.9437,0.000206458,0.000206458,0.000206458
train_npp_l2d0.04_l1d0.0_mask0.1_fpn15_18_21,317,7466.42,0.55281,0.35624,0.92785,0.99518,0.97849,0.99423,0.87175,0.59724,0.31374,0.97327,0.000363239,0.000363239,0.000363239
train_npp_l2d0.04_l1d0.0_mask0.2_fpn15_18_21,339,7986.4,0.54001,0.33538,0.91706,0.97161,1,0.99269,0.87198,0.60528,0.31204,0.9853,0.000272471,0.000272471,0.000272471
train_npp_l2d0.04_l1d0.0_mask0.3_fpn15_18_21,311,7348.02,0.56635,0.38943,0.95897,0.99486,0.98,0.99423,0.87296,0.6001,0.29682,0.96567,0.000387994,0.000387994,0.000387994
train_npp_l2d0.06_l1d0.02_mask0.1_fpn15_18_21,339,8007.63,0.56348,0.35001,0.92882,0.96248,0.99793,0.99346,0.87243,0.60801,0.31445,0.97741,0.000272471,0.000272471,0.000272471
train_npp_l2d0.06_l1d0.02_mask0.2_fpn15_18_21,383,9063.78,0.4799,0.30148,0.89857,0.97235,1,0.99423,0.87796,0.61189,0.29269,0.96354,9.09349e-05,9.09349e-05,9.09349e-05
train_npp_l2d0.06_l1d0.02_mask0.3_fpn15_18_21,373,8833.54,0.51516,0.33676,0.91185,0.97219,1,0.99423,0.8712,0.61484,0.29416,0.97,0.000132193,0.000132193,0.000132193
train_npp_l2d0.06_l1d0.04_mask0.1_fpn15_18_21,374,8854.96,0.50214,0.3213,0.90485,0.99364,0.99752,0.995,0.87524,0.59551,0.27212,0.95859,0.000128067,0.000128067,0.000128067
train_npp_l2d0.06_l1d0.04_mask0.2_fpn15_18_21,347,8209.79,0.53719,0.33766,0.90697,0.99644,0.97449,0.99423,0.87412,0.59876,0.30722,0.96202,0.000239465,0.000239465,0.000239465
train_npp_l2d0.06_l1d0.04_mask0.3_fpn15_18_21,240,5684.16,0.64148,0.43053,0.93536,0.99308,1,0.995,0.87065,0.62076,0.32095,0.99151,0.000680928,0.000680928,0.000680928
train_npp_l2d0.06_l1d0.06_mask0.1_fpn15_18_21,186,4420.46,0.78585,0.50775,1.01285,0.99302,1,0.995,0.86884,0.63625,0.37776,0.99495,0.000903722,0.000903722,0.000903722
train_npp_l2d0.06_l1d0.06_mask0.2_fpn15_18_21,316,7474.39,0.55191,0.36188,0.95795,0.99307,1,0.995,0.8745,0.57992,0.30354,0.94938,0.000367365,0.000367365,0.000367365
train_npp_l2d0.06_l1d0.06_mask0.3_fpn15_18_21,385,9105.44,0.48929,0.31466,0.9031,0.96727,1,0.99423,0.87961,0.59824,0.28993,0.9676,8.26832e-05,8.26832e-05,8.26832e-05
train_npp_l2d0.06_l1d0.08_mask0.1_fpn15_18_21,282,6665.34,0.64088,0.44108,0.96105,0.97216,1,0.99423,0.87301,0.62563,0.32538,0.98209,0.000507643,0.000507643,0.000507643
train_npp_l2d0.06_l1d0.08_mask0.2_fpn15_18_21,354,8371.08,0.56312,0.35114,0.92025,0.97534,0.99686,0.99423,0.87243,0.60686,0.31698,0.97313,0.000210584,0.000210584,0.000210584
train_npp_l2d0.06_l1d0.08_mask0.3_fpn15_18_21,357,8431.67,0.54036,0.33373,0.90659,0.97437,1,0.99423,0.87671,0.58751,0.30999,0.95294,0.000198206,0.000198206,0.000198206
train_npp_l2d0.06_l1d0.0_mask0.1_fpn15_18_21,329,7776.39,0.54927,0.35103,0.92757,0.97252,1,0.99346,0.87739,0.61489,0.30593,0.97488,0.000313729,0.000313729,0.000313729
train_npp_l2d0.06_l1d0.0_mask0.2_fpn15_18_21,321,7592.45,0.54742,0.36618,0.93185,0.9886,0.97696,0.99423,0.87776,0.59339,0.31276,0.95006,0.000346736,0.000346736,0.000346736
train_npp_l2d0.06_l1d0.0_mask0.3_fpn15_18_21,289,6840.86,0.62231,0.39478,0.94372,0.98157,1,0.995,0.87364,0.61506,0.32167,0.96916,0.000478762,0.000478762,0.000478762
train_npp_l2d0.08_l1d0.02_mask0.1_fpn15_18_21,345,8133.07,0.52668,0.34095,0.89045,0.97374,1,0.99423,0.86775,0.6116,0.30854,0.96308,0.000247716,0.000247716,0.000247716
train_npp_l2d0.08_l1d0.02_mask0.2_fpn15_18_21,346,8178.09,0.56188,0.37834,0.92008,0.96781,1,0.99346,0.87163,0.63811,0.32071,0.97863,0.00024359,0.00024359,0.00024359
train_npp_l2d0.08_l1d0.02_mask0.3_fpn15_18_21,357,8376.88,0.54609,0.33414,0.905,0.96903,1,0.99346,0.87,0.59751,0.29186,0.97673,0.000198206,0.000198206,0.000198206
train_npp_l2d0.08_l1d0.04_mask0.1_fpn15_18_21,295,6967.38,0.63056,0.38123,0.9177,0.98925,1,0.995,0.8764,0.61156,0.29665,0.9842,0.000454007,0.000454007,0.000454007
train_npp_l2d0.08_l1d0.04_mask0.2_fpn15_18_21,376,8887.52,0.48528,0.31443,0.89727,0.99697,0.97523,0.99423,0.87525,0.58814,0.2926,0.96305,0.000119816,0.000119816,0.000119816
train_npp_l2d0.08_l1d0.04_mask0.3_fpn15_18_21,292,6901.92,0.61525,0.38965,0.95443,0.99671,1,0.995,0.882,0.58832,0.29867,0.96327,0.000466385,0.000466385,0.000466385
train_npp_l2d0.08_l1d0.06_mask0.1_fpn15_18_21,337,7950.51,0.54029,0.33604,0.88439,0.98446,1,0.995,0.86764,0.61391,0.31177,0.96822,0.000280723,0.000280723,0.000280723
train_npp_l2d0.08_l1d0.06_mask0.2_fpn15_18_21,349,8245.64,0.53483,0.35906,0.89752,0.99065,1,0.995,0.87908,0.57529,0.28809,0.94743,0.000231213,0.000231213,0.000231213
train_npp_l2d0.08_l1d0.06_mask0.3_fpn15_18_21,346,8172.75,0.57713,0.38688,0.92592,0.97116,0.99739,0.99423,0.87602,0.58859,0.31962,0.96176,0.00024359,0.00024359,0.00024359
train_npp_l2d0.08_l1d0.08_mask0.1_fpn15_18_21,241,5706.11,0.64385,0.44299,0.97161,0.99063,0.99829,0.995,0.87489,0.63967,0.34552,0.98921,0.000676802,0.000676802,0.000676802
train_npp_l2d0.08_l1d0.08_mask0.2_fpn15_18_21,313,7396.31,0.57889,0.35956,0.96709,0.97137,0.99817,0.99423,0.87636,0.60741,0.30023,0.96376,0.000379743,0.000379743,0.000379743
train_npp_l2d0.08_l1d0.08_mask0.3_fpn15_18_21,328,7755.95,0.52897,0.35989,0.94991,0.99268,0.98,0.99423,0.8801,0.61818,0.30944,0.9652,0.000317855,0.000317855,0.000317855
train_npp_l2d0.08_l1d0.0_mask0.1_fpn15_18_21,346,8171.47,0.54205,0.36401,0.91577,0.99483,0.98,0.99423,0.87458,0.59113,0.28984,0.95783,0.00024359,0.00024359,0.00024359
train_npp_l2d0.08_l1d0.0_mask0.2_fpn15_18_21,311,7341.8,0.57742,0.37639,0.96329,0.97105,1,0.99423,0.87276,0.60407,0.31709,0.96298,0.000387994,0.000387994,0.000387994
train_npp_l2d0.08_l1d0.0_mask0.3_fpn15_18_21,347,8199.18,0.53718,0.34016,0.90634,0.97351,1,0.99423,0.86794,0.59714,0.3084,0.96534,0.000239465,0.000239465,0.000239465
train_npp_l2d0.0_l1d0.02_mask0.1_fpn15_18_21,349,8258.12,0.57311,0.37191,0.91131,0.97454,1,0.99423,0.87388,0.59634,0.30784,0.96256,0.000231213,0.000231213,0.000231213
train_npp_l2d0.0_l1d0.02_mask0.2_fpn15_18_21,311,7360.33,0.57497,0.36996,0.96336,0.97115,1,0.99346,0.88612,0.58547,0.31227,0.95338,0.000387994,0.000387994,0.000387994
train_npp_l2d0.0_l1d0.02_mask0.3_fpn15_18_21,390,9202.36,0.48804,0.32799,0.88933,0.9724,1,0.99346,0.8673,0.61683,0.28915,0.98101,6.20541e-05,6.20541e-05,6.20541e-05
train_npp_l2d0.0_l1d0.04_mask0.1_fpn15_18_21,132,3130.77,0.80712,0.60153,1.1178,0.99245,1,0.995,0.87408,0.66765,0.43648,1.00146,0.00112652,0.00112652,0.00112652
train_npp_l2d0.0_l1d0.04_mask0.2_fpn15_18_21,312,7370.96,0.55091,0.36799,0.91182,0.97189,1,0.99423,0.87803,0.61772,0.33148,0.97067,0.000383868,0.000383868,0.000383868
train_npp_l2d0.0_l1d0.04_mask0.3_fpn15_18_21,347,8200.05,0.52713,0.33078,0.90272,0.99692,0.97913,0.99423,0.87981,0.6262,0.30624,0.97138,0.000239465,0.000239465,0.000239465
train_npp_l2d0.0_l1d0.06_mask0.1_fpn15_18_21,325,7682.73,0.557,0.33019,0.92718,0.99466,1,0.995,0.88723,0.56663,0.30425,0.95729,0.000330233,0.000330233,0.000330233
train_npp_l2d0.0_l1d0.06_mask0.2_fpn15_18_21,346,8172.04,0.57224,0.37167,0.92556,0.96975,1,0.99423,0.87479,0.58306,0.29038,0.9486,0.00024359,0.00024359,0.00024359
train_npp_l2d0.0_l1d0.06_mask0.3_fpn15_18_21,295,6963.55,0.63878,0.3913,0.92309,0.99365,0.99449,0.995,0.87503,0.59751,0.32737,0.97236,0.000454007,0.000454007,0.000454007
train_npp_l2d0.0_l1d0.08_mask0.1_fpn15_18_21,375,8857.02,0.50555,0.32462,0.90056,0.96687,1,0.99346,0.86433,0.63178,0.30156,0.99043,0.000123941,0.000123941,0.000123941
train_npp_l2d0.0_l1d0.08_mask0.2_fpn15_18_21,340,8000.27,0.55655,0.35029,0.95253,0.97426,1,0.99269,0.87142,0.59525,0.30861,0.95396,0.000268345,0.000268345,0.000268345
train_npp_l2d0.0_l1d0.08_mask0.3_fpn15_18_21,387,9130.38,0.47768,0.32241,0.90134,0.97049,1,0.99346,0.86791,0.59898,0.28479,0.96726,7.44316e-05,7.44316e-05,7.44316e-05
train_npp_l2d0.0_l1d0.0_mask0.1_fpn15_18_21,378,8933.13,0.54659,0.3617,0.90339,0.96716,0.9987,0.99346,0.87888,0.58913,0.3046,0.95627,0.000111564,0.000111564,0.000111564
