version,mode,dataset_ratio,npp_lambda_2d,npp_lambda_1d,bbox_mask_weight,diff_alpha,diff_beta,npp_fpn_sources,data_yaml,project_dir,run_name,fitness,mAP50,mAP50-95,precision,recall,status,save_dir
v8,npp_only,10,0.02,0.04,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.04_mask0.3_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.02_l1d0.04_mask0.3_fpn15_18_21
v8,npp_only,25,0.02,0.06,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.06_mask0.1_fpn15_18_21,0.40259,0.75699,0.40259,0.68677,0.78302,success,runs/detect_25/train_npp_l2d0.02_l1d0.06_mask0.1_fpn15_18_21
v8,npp_only,10,0.02,0.06,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.06_mask0.1_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.02_l1d0.06_mask0.1_fpn15_18_21
v8,npp_only,25,0.02,0.06,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.06_mask0.2_fpn15_18_21,0.51148,0.87308,0.51148,0.75906,0.85849,success,runs/detect_25/train_npp_l2d0.02_l1d0.06_mask0.2_fpn15_18_21
v8,npp_only,10,0.02,0.06,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.06_mask0.2_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.02_l1d0.06_mask0.2_fpn15_18_21
v8,npp_only,25,0.02,0.06,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.06_mask0.3_fpn15_18_21,0.54125,0.88143,0.54125,0.88803,0.83576,success,runs/detect_25/train_npp_l2d0.02_l1d0.06_mask0.3_fpn15_18_21
v8,npp_only,10,0.02,0.06,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.06_mask0.3_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.02_l1d0.06_mask0.3_fpn15_18_21
v8,npp_only,25,0.02,0.08,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.08_mask0.1_fpn15_18_21,0.48983,0.87144,0.48983,0.81918,0.82729,success,runs/detect_25/train_npp_l2d0.02_l1d0.08_mask0.1_fpn15_18_21
v8,npp_only,10,0.02,0.08,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.08_mask0.1_fpn15_18_21,0.04086,0.09099,0.04086,0.05889,0.47298,success,runs/detect_10/train_npp_l2d0.02_l1d0.08_mask0.1_fpn15_18_21
v8,npp_only,25,0.02,0.08,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.08_mask0.2_fpn15_18_21,0.53119,0.8811,0.53119,0.81512,0.91242,success,runs/detect_25/train_npp_l2d0.02_l1d0.08_mask0.2_fpn15_18_21
v8,npp_only,10,0.02,0.08,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.08_mask0.2_fpn15_18_21,0.04086,0.09099,0.04086,0.05889,0.47298,success,runs/detect_10/train_npp_l2d0.02_l1d0.08_mask0.2_fpn15_18_21
v8,npp_only,25,0.02,0.08,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.08_mask0.3_fpn15_18_21,0.49825,0.86475,0.49825,0.78697,0.83576,success,runs/detect_25/train_npp_l2d0.02_l1d0.08_mask0.3_fpn15_18_21
v8,npp_only,10,0.02,0.08,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.08_mask0.3_fpn15_18_21,0.04086,0.09099,0.04086,0.05889,0.47298,success,runs/detect_10/train_npp_l2d0.02_l1d0.08_mask0.3_fpn15_18_21
v8,npp_only,25,0.04,0.0,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.0_mask0.1_fpn15_18_21,0.50255,0.85299,0.50255,0.79262,0.87736,success,runs/detect_25/train_npp_l2d0.04_l1d0.0_mask0.1_fpn15_18_21
v8,npp_only,10,0.04,0.0,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.0_mask0.1_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.04_l1d0.0_mask0.1_fpn15_18_21
v8,npp_only,25,0.04,0.0,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.0_mask0.2_fpn15_18_21,0.55414,0.88539,0.55414,0.78669,0.89623,success,runs/detect_25/train_npp_l2d0.04_l1d0.0_mask0.2_fpn15_18_21
v8,npp_only,10,0.04,0.0,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.0_mask0.2_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.04_l1d0.0_mask0.2_fpn15_18_21
v8,npp_only,25,0.04,0.0,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.0_mask0.3_fpn15_18_21,0.57501,0.91024,0.57501,0.81819,0.91509,success,runs/detect_25/train_npp_l2d0.04_l1d0.0_mask0.3_fpn15_18_21
