epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
81,506.776,0.0453252,0.210184,0.00120768,0.192362,0.155124,0.0920189,0.155124,0.818875,0.0486082,0.210226,0.186931,0.0001,1e-05
82,511.611,0.0530292,0.208793,0.00105805,0.195059,0.175557,0.096451,0.175557,0.85475,0.04332,0.202885,0.170417,0.0001,1e-05
83,515.603,0.0382874,0.210008,0.00111887,0.148385,0.163965,0.0939391,0.163965,0.827125,0.0465695,0.2065,0.182383,0.0001,1e-05
84,520.309,0.0370459,0.211278,0.00112201,0.149157,0.143658,0.0820234,0.143658,0.866375,0.0409055,0.211341,0.152115,0.0001,1e-05
85,525.046,0.0425356,0.210855,0.00153933,0.16909,0.137192,0.0687304,0.137192,0.80525,0.0423841,0.208321,0.172269,0.0001,1e-05
86,530.002,0.0341873,0.206072,0.00128194,0.147472,0.0958264,0.048388,0.0958264,0.781,0.0496115,0.208126,0.206225,0.0001,1e-05
87,534.749,0.0464255,0.207366,0.00116096,0.195488,0.0976807,0.0517738,0.0976807,0.767125,0.0575148,0.209771,0.238421,0.0001,1e-05
88,539.179,0.0499643,0.208391,0.00123153,0.192641,0.150654,0.080239,0.150654,0.82825,0.0416744,0.204965,0.167586,0.0001,1e-05
89,543.776,0.0429084,0.206449,0.00101691,0.172656,0.154336,0.0744887,0.154336,0.822875,0.0507949,0.206911,0.195481,0.0001,1e-05
90,548.463,0.0440978,0.211618,0.000932272,0.171152,0.132168,0.0662746,0.132168,0.81025,0.0622786,0.21699,0.220515,0.0001,1e-05
91,553.211,0.0414297,0.213491,0.00143239,0.169669,0.15164,0.0893357,0.15164,0.835375,0.0354234,0.211455,0.151503,0.0001,1e-05
92,557.459,0.0323205,0.208632,0.00127061,0.138902,0.125643,0.0742905,0.125643,0.8095,0.0498049,0.204319,0.192147,0.0001,1e-05
93,561.913,0.0363241,0.208296,0.00121954,0.14365,0.12254,0.0864646,0.12254,0.837375,0.0362734,0.20573,0.15388,0.0001,1e-05
94,566.594,0.0447764,0.20087,0.00110556,0.203473,0.12128,0.0849791,0.12128,0.845375,0.0415812,0.202103,0.186204,0.0001,1e-05
95,571.421,0.0462771,0.206561,0.00104101,0.206993,0.0998617,0.0651469,0.0998617,0.82975,0.0462694,0.202291,0.200967,0.0001,1e-05
96,576.399,0.0628024,0.201978,0.00154893,0.249257,0.104371,0.0628085,0.104371,0.851375,0.0437254,0.20347,0.180937,0.0001,1e-05
97,581.108,0.0416616,0.20734,0.00123348,0.161318,0.127612,0.0799657,0.127612,0.861625,0.0404243,0.199348,0.162187,0.0001,1e-05
98,585.671,0.0407785,0.200755,0.00113959,0.164361,0.134327,0.0878181,0.134327,0.80275,0.043137,0.200485,0.191178,0.0001,1e-05
99,590.468,0.051268,0.200593,0.00102932,0.223128,0.159787,0.093443,0.159787,0.804375,0.0460676,0.197235,0.192933,0.0001,1e-05
100,595.646,0.0430419,0.197611,0.00127425,0.167383,0.130797,0.074097,0.130797,0.793,0.0490797,0.197999,0.187826,0.0001,1e-05
101,600.362,0.048924,0.204631,0.0012391,0.182053,0.112755,0.0594362,0.112755,0.722125,0.0597287,0.203217,0.246104,0.0001,1e-05
102,604.557,0.0475094,0.204954,0.00103701,0.183339,0.132963,0.089094,0.132963,0.83025,0.0385236,0.200178,0.171758,0.0001,1e-05
103,609.356,0.0459062,0.198642,0.000940219,0.172348,0.15752,0.109403,0.15752,0.865875,0.0340519,0.198342,0.139257,0.0001,1e-05
104,614.202,0.0363626,0.198322,0.00108689,0.138671,0.16816,0.102787,0.16816,0.837125,0.0405677,0.204523,0.18021,0.0001,1e-05
105,618.801,0.0429178,0.201768,0.00139479,0.15747,0.18372,0.0992668,0.18372,0.828625,0.0429634,0.202269,0.184082,0.0001,1e-05
106,623.627,0.041548,0.198753,0.00106992,0.157704,0.141612,0.0821533,0.141612,0.839375,0.0483579,0.203073,0.190018,0.0001,1e-05
107,628.247,0.0396958,0.204425,0.00106418,0.168995,0.146579,0.0924257,0.146579,0.844625,0.037653,0.210632,0.157771,0.0001,1e-05
