source,epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
_2d2_1d6_nm20_a10_b100,42,1408.83,0.0922494,0.0276936,0.000575309,0.000239981,0.393797,0.92254,0.542065,0.902778,0.866667,0.101028,0.0229557,0.427867,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,43,1441.8,0.0989295,0.0348649,0.000523972,0.000233007,0.422546,0.887274,0.475463,0.842105,0.853333,0.120401,0.0402778,0.515934,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,44,1473.92,0.0946405,0.0292751,0.000518907,0.000225741,0.389281,0.923909,0.522764,0.888889,0.853333,0.0971092,0.0222787,0.440007,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,45,1506.42,0.103315,0.0307867,0.000464725,0.000209357,0.437848,0.916941,0.540639,0.917808,0.893333,0.0927296,0.0340707,0.413293,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,46,1538.56,0.0984634,0.0283601,0.0004955,0.000216888,0.422486,0.909973,0.554946,0.914286,0.853333,0.0957662,0.033209,0.394452,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,47,1571.63,0.0903462,0.031939,0.000512207,0.000231596,0.392981,0.929374,0.492092,0.916667,0.88,0.0994339,0.0288243,0.4423,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,48,1605.32,0.0914133,0.0264813,0.000440262,0.000207713,0.391652,0.916801,0.485828,0.915493,0.866667,0.0993848,0.0330846,0.45104,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,49,1638.19,0.0956077,0.0271765,0.000444654,0.000213858,0.401116,0.935744,0.59235,0.90411,0.88,0.083395,0.0380495,0.355517,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,50,1672.62,0.0979029,0.026192,0.000447213,0.000215922,0.396896,0.949611,0.563675,0.953846,0.826667,0.0995118,0.0213872,0.398617,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,51,1705.89,0.0944543,0.0251635,0.000391718,0.000196246,0.40865,0.948806,0.550308,0.906667,0.906667,0.0905626,0.0332196,0.404367,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,52,1737.78,0.0955984,0.0223911,0.000392617,0.000193939,0.402724,0.941832,0.582367,0.932432,0.92,0.0927069,0.0224542,0.385862,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,53,1771.18,0.0948995,0.0201305,0.000402048,0.00019875,0.402683,0.929916,0.537559,0.873418,0.92,0.091785,0.0281294,0.41849,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,54,1806.08,0.0951088,0.0252901,0.000408433,0.000200133,0.402158,0.899502,0.485775,0.881579,0.893333,0.105189,0.0293872,0.45187,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,55,1841.36,0.0942263,0.0271921,0.00043982,0.000215383,0.4125,0.924792,0.547577,0.90411,0.88,0.090886,0.0383858,0.408667,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,56,1874.61,0.092865,0.0266924,0.000429089,0.000212527,0.399657,0.907261,0.515646,0.902778,0.866667,0.109484,0.0410954,0.44092,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,57,1909.44,0.094083,0.0328488,0.000397695,0.000203118,0.403046,0.823257,0.346305,0.936508,0.786667,0.115543,0.0674928,0.562887,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,58,1943.72,0.0931039,0.0265487,0.000384759,0.000192453,0.401747,0.955885,0.606356,0.955882,0.866667,0.0902347,0.0312595,0.378174,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,59,1980.15,0.0972029,0.0219458,0.000359163,0.000186612,0.395744,0.911618,0.568491,0.930556,0.893333,0.103317,0.0255463,0.400611,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,60,2013.47,0.0900828,0.0217047,0.000377859,0.00019315,0.381478,0.903111,0.545597,0.902778,0.866667,0.0986669,0.0321622,0.43809,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,61,2045.57,0.09613,0.026761,0.000356006,0.000185139,0.409763,0.946481,0.600305,0.918919,0.906667,0.0925244,0.0258352,0.402456,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,62,2078.76,0.0892473,0.0204397,0.000352422,0.000185969,0.384591,0.951312,0.613396,0.929577,0.88,0.0964185,0.017964,0.388838,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,63,2113.77,0.0944977,0.0272261,0.000348552,0.000183844,0.400364,0.931751,0.48004,0.969231,0.84,0.118451,0.0430364,0.497236,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,64,2145.61,0.0961661,0.0215276,0.000352981,0.000189362,0.410833,0.934136,0.529018,0.906667,0.906667,0.107387,0.0206531,0.464829,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,65,2177.43,0.0910965,0.0219658,0.000351325,0.000187711,0.390235,0.889202,0.487031,0.88,0.88,0.101701,0.0474718,0.45999,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,66,2209.22,0.0942725,0.0224258,0.000349824,0.000187924,0.405846,0.918213,0.531994,0.941176,0.853333,0.0985532,0.02428,0.44604,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,67,2242.01,0.0894791,0.0195124,0.000389911,0.000205673,0.388831,0.913521,0.578258,0.915493,0.866667,0.0911305,0.0360801,0.36712,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,68,2275.27,0.0884619,0.0169035,0.000357349,0.00018948,0.372025,0.910267,0.519608,0.927536,0.853333,0.100067,0.0241323,0.435499,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,69,2308.52,0.087864,0.0167791,0.000330518,0.000181182,0.387386,0.94213,0.509995,0.896104,0.92,0.100439,0.0313137,0.462154,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,70,2342.13,0.0892172,0.0174903,0.000361275,0.000194586,0.380737,0.917876,0.579593,0.915493,0.866667,0.0899953,0.0231779,0.382888,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,71,2375.21,0.0929155,0.0214382,0.000358353,0.000191684,0.406807,0.912172,0.396223,0.916667,0.88,0.123605,0.0231106,0.557653,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,72,2408.09,0.0922179,0.0150915,0.000345034,0.0001823,0.395886,0.953594,0.605084,0.909091,0.933333,0.0840272,0.0268381,0.348306,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,73,2441.94,0.0895443,0.0207549,0.000314629,0.000172664,0.39349,0.944033,0.548682,0.918919,0.906667,0.105207,0.0217758,0.42098,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,74,2475.72,0.0885838,0.0165102,0.000300869,0.000167264,0.39328,0.930217,0.488924,0.943662,0.893333,0.101499,0.0400074,0.470542,0.0001,1e-05
