epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
61,203.132,0.0463465,0.208628,0.000890842,0.18108,0.195849,0.108212,0.195849,0.83325,0.0382347,0.207519,0.177998,0.0001,1e-05
62,206.494,0.045245,0.212845,0.000964319,0.20363,0.211579,0.0958402,0.211579,0.841125,0.0437904,0.206616,0.182756,0.0001,1e-05
63,209.804,0.0489118,0.199667,0.000928598,0.193927,0.208122,0.082138,0.208122,0.742375,0.0658881,0.20401,0.293004,0.0001,1e-05
64,213.058,0.0655396,0.195536,0.000988139,0.268513,0.155381,0.103772,0.155381,0.82775,0.050255,0.200821,0.223301,0.0001,1e-05
65,216.382,0.0416911,0.202351,0.000914122,0.198061,0.118652,0.0536372,0.118652,0.797,0.055224,0.202049,0.228228,0.0001,1e-05
66,219.977,0.061787,0.197081,0.000858698,0.249087,0.158331,0.0772642,0.158331,0.810125,0.0490686,0.195595,0.198508,0.0001,1e-05
67,223.259,0.055832,0.193224,0.000974422,0.223689,0.172551,0.107614,0.172551,0.8295,0.0420891,0.194975,0.178725,0.0001,1e-05
68,226.635,0.0443991,0.190437,0.000939495,0.17563,0.151735,0.0951079,0.151735,0.829125,0.0459078,0.195109,0.191569,0.0001,1e-05
69,230.085,0.111518,0.202119,0.000949292,0.224101,0.11663,0.0605707,0.11663,0.830875,0.0396311,0.203535,0.167061,0.0001,1e-05
70,233.372,0.0399406,0.203721,0.000969089,0.163229,0.128056,0.0730823,0.128056,0.79575,0.0499862,0.208102,0.187975,0.0001,1e-05
71,236.823,0.0392947,0.209391,0.000875428,0.173479,0.133239,0.0673239,0.133239,0.79575,0.0490345,0.209504,0.194318,0.0001,1e-05
72,240.221,0.044803,0.205639,0.000849922,0.190001,0.129349,0.0822841,0.129349,0.81525,0.0435312,0.206985,0.191195,0.0001,1e-05
73,243.697,0.0419527,0.201765,0.000836271,0.170921,0.149926,0.0849996,0.149926,0.84225,0.040504,0.207851,0.17344,0.0001,1e-05
74,247.036,0.0415201,0.206712,0.000902045,0.168466,0.199364,0.106319,0.199364,0.85075,0.0425096,0.199633,0.176359,0.0001,1e-05
75,250.445,0.0419458,0.195009,0.000907346,0.16847,0.160552,0.0636845,0.160552,0.77875,0.0553104,0.191723,0.235502,0.0001,1e-05
76,253.638,0.0473227,0.192921,0.00098068,0.203253,0.141288,0.0818975,0.141288,0.8485,0.0373157,0.19557,0.168607,0.0001,1e-05
77,256.946,0.0477236,0.191542,0.000933754,0.182032,0.167485,0.0691986,0.167485,0.815875,0.0456072,0.194862,0.199171,0.0001,1e-05
78,260.135,0.0391655,0.19777,0.000928289,0.165029,0.119913,0.0617195,0.119913,0.801625,0.0399592,0.204833,0.192884,0.0001,1e-05
79,263.609,0.059364,0.207227,0.000818267,0.193266,0.1373,0.0675585,0.1373,0.81175,0.0434214,0.20833,0.179806,0.0001,1e-05
