experiment,param_2d,param_1d,final_epoch,final_mAP50,final_mAP50_95,final_precision,final_recall,final_train_loss_bbox,final_train_loss_ce,final_train_loss_giou,final_val_loss_bbox,final_val_loss_ce,final_val_loss_giou
detr_50_2d1_1d7,1,7,400,0.149054,0.0986421,0.149054,0.89925,0.0246525,0.193813,0.0972134,0.0303356,0.194077,0.131122
detr_50_2d1_1d8,1,8,400,0.849846,0.672367,0.849846,0.898875,0.044433,0.074815,0.16396,0.0473357,0.0500069,0.19132
detr_50_2d1_1d9,1,9,400,0.775668,0.624099,0.775668,0.90975,0.0423353,0.0675675,0.171956,0.0497955,0.0550894,0.199759
detr_50_2d1_1d10,1,10,400,0.224449,0.154042,0.224449,0.9075,0.0248736,0.181267,0.09606,0.0316601,0.173766,0.133481
detr_50_2d2_1d000,2,0,400,0.122623,0.0990733,0.122623,0.9135,0.0226275,0.195758,0.0881785,0.0272841,0.195143,0.116416
detr_50_2d2_1d1,2,1,400,0.999238,0.757423,0.999238,0.828,0.045452,0.0258411,0.201792,0.053502,0.0143557,0.23276
detr_50_2d2_1d2,2,2,400,0.140711,0.106237,0.140711,0.901,0.0260101,0.181441,0.102332,0.0283505,0.189886,0.125737
detr_50_2d2_1d3,2,3,400,0.201593,0.152009,0.201593,0.903,0.0328537,0.166901,0.114482,0.0340424,0.168841,0.139488
detr_50_2d2_1d4,2,4,400,0.157402,0.110826,0.157402,0.9055,0.025125,0.196145,0.0898409,0.0280032,0.199223,0.11182
detr_50_2d2_1d5,2,5,400,0.730886,0.564193,0.730886,0.887875,0.0462661,0.116676,0.162982,0.0485159,0.101265,0.18758
detr_50_2d2_1d6,2,6,400,0.263081,0.187357,0.263081,0.908375,0.0330715,0.146426,0.126839,0.0407578,0.135421,0.169923
detr_50_2d2_1d7,2,7,400,0.103465,0.0781218,0.103465,0.885375,0.0237879,0.191144,0.0920657,0.0272243,0.193801,0.125351
detr_50_2d2_1d8,2,8,400,0.876561,0.698577,0.876561,0.8505,0.0424964,0.043037,0.193534,0.0531449,0.0247898,0.219703
detr_50_2d2_1d9,2,9,400,0.741985,0.575187,0.741985,0.880125,0.0481377,0.0464053,0.201735,0.0532244,0.038305,0.22861
detr_50_2d2_1d10,2,10,400,0.147374,0.109979,0.147374,0.903,0.0255309,0.185683,0.0929769,0.0317204,0.183224,0.127898
detr_50_2d3_1d000,3,0,400,0.690242,0.555067,0.690242,0.875,0.0450223,0.0635799,0.186841,0.0526242,0.0463037,0.208422
detr_50_2d3_1d1,3,1,400,0.64285,0.480415,0.64285,0.90325,0.0328234,0.149633,0.111359,0.0467732,0.134071,0.183398
detr_50_2d3_1d2,3,2,400,0.0955834,0.0752161,0.0955834,0.90325,0.0249013,0.196557,0.0921577,0.0313062,0.194729,0.130069
detr_50_2d3_1d3,3,3,400,0.807544,0.60889,0.807544,0.908875,0.0423678,0.115637,0.146706,0.0517308,0.0928663,0.194907
detr_50_2d3_1d4,3,4,400,0.0948945,0.0752908,0.0948945,0.9135,0.0233975,0.192156,0.0875651,0.0267071,0.195818,0.112772
detr_50_2d3_1d5,3,5,400,0.301153,0.239276,0.301153,0.914625,0.0337065,0.163036,0.118294,0.0356386,0.155525,0.144613
detr_50_2d3_1d6,3,6,400,0.224732,0.163857,0.224732,0.898375,0.0271353,0.184191,0.0991226,0.0347615,0.185466,0.136607
detr_50_2d3_1d7,3,7,400,0.264625,0.197325,0.264625,0.912625,0.0266044,0.180673,0.105128,0.0332872,0.172273,0.131709
detr_50_2d3_1d8,3,8,400,0.175,0.118532,0.175,0.9135,0.0232823,0.186231,0.0956729,0.0276112,0.183083,0.117627
detr_50_2d3_1d9,3,9,400,0.688157,0.537088,0.688157,0.902375,0.0375497,0.121265,0.144218,0.0419327,0.100328,0.168262
detr_50_2d3_1d10,3,10,400,0.627482,0.500553,0.627482,0.852,0.0381265,0.0794058,0.162688,0.0453087,0.0670202,0.208919
detr_50_2d4_1d000,4,0,400,0.224187,0.150912,0.224187,0.904625,0.0262977,0.177595,0.109077,0.0337083,0.180486,0.135012
detr_50_2d4_1d1,4,1,400,0.396868,0.322885,0.396868,0.886375,0.0392364,0.109358,0.140494,0.0455532,0.0969881,0.174798
detr_50_2d4_1d2,4,2,400,0.223248,0.152076,0.223248,0.894125,0.0237103,0.190215,0.100983,0.0280633,0.204803,0.118961
detr_50_2d4_1d3,4,3,400,0.15337,0.113197,0.15337,0.912625,0.0273465,0.185684,0.100362,0.0329582,0.180918,0.136079
detr_50_2d4_1d4,4,4,400,0.739507,0.51322,0.739507,0.892375,0.0474725,0.0818151,0.174183,0.0504591,0.0834379,0.1952
detr_50_2d4_1d5,4,5,400,0.167114,0.13612,0.167114,0.90975,0.0378312,0.128712,0.127579,0.0368504,0.145069,0.145066
detr_50_2d4_1d6,4,6,400,0.0916772,0.0726952,0.0916772,0.9115,0.0279175,0.197177,0.107203,0.0283264,0.196746,0.116662
detr_50_2d4_1d7,4,7,400,0.178224,0.137543,0.178224,0.906125,0.0280299,0.181267,0.101902,0.0309659,0.181153,0.131178
detr_50_2d4_1d8,4,8,400,0.28009,0.230311,0.28009,0.910375,0.0349931,0.147289,0.129366,0.033349,0.146139,0.135322
detr_50_2d4_1d9,4,9,400,0.240322,0.191188,0.240322,0.920875,0.0300609,0.157055,0.109294,0.0352206,0.151481,0.141223
detr_50_2d4_1d10,4,10,400,0.138964,0.09691,0.138964,0.922,0.0256808,0.173433,0.101987,0.0272878,0.18106,0.117694
detr_50_2d5_1d000,5,0,400,0.325973,0.243585,0.325973,0.906375,0.0258849,0.171355,0.100875,0.0321691,0.177638,0.128041
detr_50_2d5_1d1,5,1,400,0.845419,0.664566,0.845419,0.902,0.047067,0.069372,0.171918,0.0478372,0.0527014,0.183665
detr_50_2d5_1d2,5,2,400,0.625886,0.496031,0.625886,0.869875,0.0434484,0.0618645,0.16833,0.0534079,0.0534471,0.21217
detr_50_2d5_1d3,5,3,400,0.342115,0.261162,0.342115,0.902625,0.039618,0.12796,0.150841,0.041789,0.119472,0.16345
detr_50_2d5_1d4,5,4,400,0.975371,0.773634,0.975371,0.877,0.046555,0.0551803,0.173994,0.0513402,0.0390053,0.21585
detr_50_2d5_1d5,5,5,400,0.235169,0.180278,0.235169,0.920875,0.0269497,0.173941,0.101412,0.0329083,0.16058,0.133932
detr_50_2d5_1d6,5,6,400,0.338676,0.225156,0.338676,0.89725,0.0242364,0.19426,0.0940721,0.0330186,0.196868,0.134083
detr_50_2d5_1d7,5,7,400,0.179078,0.12851,0.179078,0.902375,0.0247292,0.187876,0.0949902,0.0325187,0.1821,0.136019
detr_50_2d5_1d8,5,8,400,0.138889,0.106159,0.138889,0.902125,0.0232279,0.192279,0.0846837,0.0314069,0.187488,0.134937
detr_50_2d5_1d9,5,9,400,0.128023,0.0952791,0.128023,0.912625,0.0267571,0.181339,0.0997009,0.0291378,0.186934,0.117036
