epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
67,215.134,0.063097,0.218741,0.000335782,0.238136,0.0496089,0.0359156,0.0496089,0.77125,0.0515103,0.213916,0.235444,0.0001,1e-05
68,218.352,0.0485272,0.210189,0.00032534,0.185793,0.0467562,0.0354304,0.0467562,0.83875,0.0349801,0.213964,0.145893,0.0001,1e-05
69,221.645,0.0425226,0.219397,0.000326624,0.180243,0.0472592,0.0357713,0.0472592,0.8365,0.0341622,0.214744,0.136864,0.0001,1e-05
70,224.824,0.0330782,0.215075,0.000331541,0.135695,0.04782,0.0350034,0.04782,0.82575,0.0360582,0.212385,0.15194,0.0001,1e-05
71,228.151,0.0375171,0.212392,0.000300459,0.14742,0.0505019,0.037871,0.0505019,0.841875,0.0427184,0.212372,0.160277,0.0001,1e-05
72,231.449,0.0434496,0.213552,0.000291541,0.175659,0.0554237,0.041459,0.0554237,0.8675,0.0411952,0.210724,0.149638,0.0001,1e-05
73,234.839,0.0379343,0.21191,0.000285004,0.162481,0.0612552,0.0438344,0.0612552,0.842875,0.0332379,0.212957,0.14703,0.0001,1e-05
74,238.019,0.0426072,0.219532,0.000303356,0.162567,0.0635527,0.0411287,0.0635527,0.815875,0.0343799,0.211545,0.153668,0.0001,1e-05
75,241.331,0.0370595,0.217619,0.000304273,0.155856,0.0578595,0.0394016,0.0578595,0.758375,0.0460993,0.213602,0.188935,0.0001,1e-05
76,244.417,0.0416626,0.216936,0.00032288,0.16177,0.0644669,0.0493801,0.0644669,0.86875,0.0387514,0.207575,0.160303,0.0001,1e-05
77,247.599,0.0349061,0.211176,0.000308019,0.146227,0.0613442,0.0450128,0.0613442,0.8445,0.0364402,0.212208,0.162127,0.0001,1e-05
78,250.704,0.0330724,0.214092,0.00030411,0.13396,0.063638,0.0494519,0.063638,0.847875,0.0422311,0.211835,0.164863,0.0001,1e-05
79,254.061,0.0503472,0.217465,0.000268932,0.187347,0.0810443,0.0557655,0.0810443,0.81825,0.0473184,0.210949,0.198304,0.0001,1e-05
80,257.329,0.044285,0.216174,0.000298189,0.156917,0.0867681,0.059409,0.0867681,0.845875,0.041923,0.212531,0.157254,0.0001,1e-05
81,260.425,0.0373005,0.209963,0.00030286,0.145553,0.0838963,0.0596601,0.0838963,0.836,0.0387082,0.207862,0.155424,0.0001,1e-05
82,263.748,0.0429994,0.213196,0.000290867,0.160774,0.085764,0.0544047,0.085764,0.801875,0.0462425,0.210526,0.17998,0.0001,1e-05
83,266.948,0.0424927,0.213645,0.000300867,0.162421,0.0904107,0.0543249,0.0904107,0.776,0.0448123,0.210644,0.198848,0.0001,1e-05
84,270.07,0.0508198,0.213696,0.000284887,0.192613,0.0861313,0.0547482,0.0861313,0.77175,0.0475205,0.207779,0.230072,0.0001,1e-05
85,273.283,0.0506382,0.211963,0.000295035,0.187498,0.108571,0.0662898,0.108571,0.77625,0.0497076,0.207675,0.206655,0.0001,1e-05
86,276.56,0.0452017,0.211629,0.000271394,0.171035,0.114883,0.0772922,0.114883,0.814625,0.0474622,0.207638,0.204989,0.0001,1e-05
87,279.831,0.0418585,0.211121,0.000290858,0.164172,0.129727,0.0927429,0.129727,0.86875,0.0322919,0.208804,0.14211,0.0001,1e-05
88,283.123,0.0400086,0.211331,0.000284946,0.147727,0.126157,0.103127,0.126157,0.85825,0.0317663,0.208037,0.141513,0.0001,1e-05
89,286.308,0.0327969,0.205796,0.000286806,0.12403,0.123268,0.0806331,0.123268,0.828375,0.037176,0.209436,0.166138,0.0001,1e-05
90,289.552,0.0458686,0.214572,0.000301206,0.180668,0.125516,0.0676132,0.125516,0.79625,0.0398418,0.206827,0.181908,0.0001,1e-05
91,292.811,0.044537,0.212455,0.000270117,0.165473,0.110696,0.0813375,0.110696,0.855375,0.0363828,0.208084,0.152257,0.0001,1e-05
92,296.039,0.0425176,0.209391,0.000267353,0.160563,0.122525,0.0792018,0.122525,0.840875,0.0397876,0.206988,0.162281,0.0001,1e-05
93,299.3,0.0466437,0.204578,0.000285697,0.196716,0.0924421,0.0755417,0.0924421,0.8605,0.0380195,0.207285,0.162228,0.0001,1e-05
94,302.513,0.0491439,0.209976,0.000272046,0.170122,0.0805206,0.0593028,0.0805206,0.8155,0.0531976,0.206853,0.207352,0.0001,1e-05
95,305.805,0.0392247,0.209437,0.000267342,0.14896,0.0796578,0.0559023,0.0796578,0.799375,0.0438596,0.209179,0.195671,0.0001,1e-05
96,308.965,0.0405282,0.208064,0.00027586,0.167481,0.0727882,0.0496367,0.0727882,0.809375,0.0391674,0.208589,0.171752,0.0001,1e-05
97,312.123,0.157331,0.213843,0.000268855,0.309246,0.0765178,0.044443,0.0765178,0.726875,0.0464452,0.208644,0.216924,0.0001,1e-05
98,315.561,0.0549287,0.210563,0.000249192,0.230511,0.0800949,0.0538591,0.0800949,0.768375,0.0494807,0.207015,0.209728,0.0001,1e-05
99,318.751,0.0479194,0.207851,0.000271636,0.185471,0.100445,0.0719757,0.100445,0.826375,0.0395685,0.206461,0.176204,0.0001,1e-05
100,321.949,0.0446574,0.207927,0.000273443,0.16865,0.0897609,0.0588064,0.0897609,0.791625,0.0553122,0.207021,0.227261,0.0001,1e-05
101,325.291,0.0521933,0.204762,0.000273229,0.199209,0.0904533,0.0540343,0.0904533,0.779875,0.0696796,0.204604,0.256005,0.0001,1e-05
102,328.504,0.0582018,0.207301,0.000285905,0.207167,0.0945747,0.0593662,0.0945747,0.802125,0.0530663,0.203592,0.209964,0.0001,1e-05
103,331.919,0.0398992,0.208217,0.000269365,0.157133,0.0994326,0.0679497,0.0994326,0.853125,0.0341191,0.207245,0.154558,0.0001,1e-05
104,335.12,0.0323468,0.209399,0.000280164,0.139112,0.100906,0.0685514,0.100906,0.830625,0.0347221,0.208846,0.152539,0.0001,1e-05
