epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1,folder
362.0,1283.68,0.0375179,0.0307204,0.154557,0.861835,0.70831,0.861835,0.857375,0.0482781,0.0166105,0.193839,1e-05,1e-06,detr_50_2d2_1d7
383.0,1283.05,0.0397365,0.0340999,0.181845,0.865779,0.702954,0.865779,0.870375,0.048901,0.0167988,0.202337,1e-05,1e-06,detr_50_2d6_1d8
398.0,1340.53,0.0414029,0.0567091,0.171774,0.905273,0.700712,0.905273,0.894625,0.053544,0.033914,0.230938,1e-05,1e-06,detr_50_2d10_1d6
398.0,1355.86,0.0419778,0.0862393,0.160281,0.919432,0.70052,0.919432,0.896625,0.0449888,0.0611624,0.18438,1e-05,1e-06,detr_50_2d8_1d4
363.0,1262.54,0.0397962,0.0383466,0.181117,0.876172,0.697785,0.876172,0.871,0.0522362,0.0333159,0.228081,1e-05,1e-06,detr_50_2d2_1d10
393.0,1323.15,0.040642,0.0649084,0.164606,0.865702,0.695155,0.865702,0.875,0.0481267,0.0521548,0.188421,1e-05,1e-06,detr_50_2d7_1d000
399.0,1383.88,0.0468506,0.0479029,0.190479,0.878866,0.694815,0.878866,0.866125,0.0495457,0.0321286,0.207229,1e-05,1e-06,detr_50_2d3_1d3
392.0,1315.84,0.0419891,0.0827985,0.149535,0.914769,0.692181,0.914769,0.876125,0.0472762,0.0768511,0.179438,1e-05,1e-06,detr_50_2d9_1d4
400.0,1423.83,0.0549151,0.049453,0.192268,0.8238,0.681457,0.8238,0.9055,0.0478772,0.0250538,0.200449,1e-06,1e-07,detr_50_2d1_1d2
398.0,1356.32,0.0466419,0.04509,0.210027,0.839386,0.679182,0.839386,0.904625,0.046326,0.0393353,0.195268,1e-05,1e-06,detr_50_2d8_1d5
377.0,1340.58,0.0420818,0.0473678,0.176866,0.817786,0.67529,0.817786,0.91,0.0513892,0.0313905,0.194958,1e-05,1e-06,detr_50_2d2_1d5
398.0,1387.72,0.0466651,0.0705678,0.177409,0.85045,0.668828,0.85045,0.877875,0.0462712,0.0523286,0.190666,1e-05,1e-06,detr_50_2d3_1d000
398.0,1417.66,0.0438432,0.065716,0.155218,0.858927,0.664541,0.858927,0.890375,0.0483879,0.0546869,0.190511,1e-05,1e-06,detr_50_2d1_1d7
319.0,1132.81,0.0478047,0.0436376,0.199172,0.839658,0.662869,0.839658,0.8775,0.0471455,0.0249536,0.205645,1e-05,1e-06,detr_50_2d2_1d4
397.0,1334.54,0.0468206,0.0267833,0.203261,0.832259,0.661051,0.832259,0.878125,0.0478296,0.0255212,0.204664,1e-05,1e-06,detr_50_2d9_1d10
393.0,1390.9,0.0356152,0.0744359,0.151221,0.788534,0.659352,0.788534,0.91825,0.0423151,0.0588439,0.171849,1e-05,1e-06,detr_50_2d1_1d000
400.0,1420.92,0.0472244,0.0721299,0.171497,0.840691,0.65926,0.840691,0.884625,0.0521021,0.0559317,0.206813,1e-06,1e-07,detr_50_2d000_1d4
400.0,1419.42,0.0411258,0.0779846,0.17478,0.817872,0.657731,0.817872,0.8975,0.0472949,0.0650061,0.188709,1e-06,1e-07,detr_50_2d1_1d1
387.0,1303.03,0.0415108,0.071022,0.162786,0.812338,0.652053,0.812338,0.876125,0.049403,0.044304,0.201906,1e-05,1e-06,detr_50_2d9_1d5
399.0,1397.86,0.0423744,0.0640754,0.174348,0.814735,0.651048,0.814735,0.89575,0.050739,0.0494722,0.203158,1e-05,1e-06,detr_50_2d3_1d9
383.0,1360.07,0.0525896,0.0794569,0.180503,0.821414,0.649156,0.821414,0.870375,0.0503396,0.0673862,0.191701,1e-05,1e-06,detr_50_2d000_1d10
374.0,1333.57,0.0410255,0.0849462,0.168653,0.797946,0.645323,0.797946,0.92,0.0439203,0.0761653,0.171193,1e-05,1e-06,detr_50_2d2_1d000
399.0,1340.25,0.039254,0.0437522,0.169683,0.797219,0.642001,0.797219,0.8695,0.0508575,0.0318656,0.215598,1e-05,1e-06,detr_50_2d10_1d1
397.0,1413.73,0.0403055,0.0566206,0.169952,0.829794,0.636116,0.829794,0.891875,0.0516821,0.0424543,0.21963,1e-05,1e-06,detr_50_2d2_1d1
395.0,1396.47,0.0446323,0.0401315,0.178997,0.806519,0.632545,0.806519,0.869875,0.0479141,0.0259314,0.206346,1e-05,1e-06,detr_50_2d7_1d10
394.0,1321.34,0.043326,0.0931822,0.156866,0.758068,0.621502,0.758068,0.900625,0.0480413,0.0699064,0.185949,1e-05,1e-06,detr_50_2d9_1d3
400.0,1410.92,0.0558364,0.0691535,0.194432,0.773257,0.614298,0.773257,0.88725,0.0482625,0.0441833,0.214852,1e-06,1e-07,detr_50_2d7_1d9
372.0,1775.63,0.0420851,0.0526331,0.164099,0.798836,0.610562,0.798836,0.894625,0.045337,0.0507276,0.185325,1e-05,1e-06,detr_50_2d6_1d7
390.0,1393.19,0.0443766,0.0841123,0.153991,0.724877,0.598439,0.724877,0.8875,0.0497794,0.0634974,0.177204,1e-05,1e-06,detr_50_2d1_1d8
385.0,1329.55,0.0427396,0.0716855,0.160774,0.742198,0.596216,0.742198,0.882375,0.047764,0.0607981,0.190767,1e-05,1e-06,detr_50_2d7_1d8
392.0,1321.63,0.0416635,0.100025,0.151924,0.753668,0.580693,0.753668,0.874125,0.0450244,0.0812884,0.176685,1e-05,1e-06,detr_50_2d3_1d10
395.0,1410.44,0.0400435,0.0746629,0.160064,0.720316,0.572143,0.720316,0.898625,0.0449651,0.0498804,0.188584,1e-05,1e-06,detr_50_2d000_1d6
391.0,1394.71,0.0437304,0.102256,0.154079,0.715564,0.569587,0.715564,0.905,0.0464997,0.0817983,0.183096,1e-05,1e-06,detr_50_2d1_1d5
395.0,1407.68,0.0430112,0.0803124,0.153841,0.704911,0.558003,0.704911,0.896375,0.0467651,0.0652205,0.184424,1e-05,1e-06,detr_50_2d2_1d6
398.0,1339.99,0.0467263,0.0785924,0.166327,0.690861,0.543678,0.690861,0.890375,0.0566927,0.0607788,0.218068,1e-05,1e-06,detr_50_2d4_1d1
304.0,1083.03,0.0373537,0.114944,0.142657,0.66664,0.535671,0.66664,0.906375,0.0494522,0.0847057,0.194247,1e-05,1e-06,detr_50_2d8_1d000
380.0,1354.67,0.0424254,0.0785662,0.175488,0.734166,0.520298,0.734166,0.896125,0.0454775,0.0696827,0.194636,1e-05,1e-06,detr_50_2d1_1d6
400.0,1426.37,0.0414575,0.109204,0.146272,0.634926,0.516463,0.634926,0.908375,0.0432991,0.0794395,0.168442,1e-06,1e-07,detr_50_2d000_1d5
394.0,1325.96,0.0406486,0.0850254,0.154579,0.655409,0.503449,0.655409,0.878125,0.0550618,0.0726866,0.209661,1e-05,1e-06,detr_50_2d9_1d1
400.0,1346.6,0.0457568,0.116496,0.147338,0.617081,0.484864,0.617081,0.88475,0.0513118,0.0950337,0.202544,1e-06,1e-07,detr_50_2d9_1d7
400.0,1437.97,0.0407318,0.122848,0.149582,0.5626,0.468536,0.5626,0.9095,0.0468779,0.101388,0.17503,1e-06,1e-07,detr_50_2d000_1d000
393.0,1319.61,0.0406043,0.117956,0.143446,0.571291,0.455043,0.571291,0.904875,0.0458304,0.100409,0.176389,1e-05,1e-06,detr_50_2d8_1d9
399.0,1345.86,0.0410787,0.121228,0.146824,0.566619,0.426369,0.566619,0.900625,0.0539511,0.104375,0.191274,1e-05,1e-06,detr_50_2d7_1d5
399.0,1346.29,0.0375659,0.114637,0.142986,0.53651,0.421966,0.53651,0.891625,0.0490037,0.10392,0.199085,1e-05,1e-06,detr_50_2d7_1d6
396.0,1329.27,0.0363973,0.136394,0.129285,0.559069,0.420667,0.559069,0.9095,0.0444342,0.112721,0.170842,1e-05,1e-06,detr_50_2d10_1d7
391.0,1389.55,0.0439942,0.112249,0.140856,0.529452,0.401137,0.529452,0.912375,0.0498716,0.112375,0.184751,1e-05,1e-06,detr_50_2d1_1d3
392.0,1318.42,0.0424207,0.131264,0.14511,0.47125,0.381203,0.47125,0.912875,0.0438073,0.115628,0.160833,1e-05,1e-06,detr_50_2d9_1d6
400.0,1345.36,0.0513609,0.131365,0.163662,0.382719,0.297717,0.382719,0.9015,0.0461967,0.114181,0.175544,1e-06,1e-07,detr_50_2d9_1d8
399.0,1394.9,0.0372194,0.145427,0.143606,0.399226,0.289174,0.399226,0.914625,0.0416648,0.147819,0.152712,1e-05,1e-06,detr_50_2d3_1d8
214.0,1064.32,0.0340462,0.172474,0.133102,0.198965,0.154518,0.198965,0.904375,0.0328644,0.166417,0.134727,1e-05,1e-06,detr_50_2d4_1d3
10.0,57.4265,0.140139,0.269896,0.41893,0.166054,0.0772978,0.166054,0.342,0.109439,0.265664,0.394562,0.0001,1e-05,detr_50_2d4_1d7
10.0,44.8199,0.123983,0.293191,0.361444,0.100077,0.0409606,0.100077,0.364,0.082239,0.279067,0.298309,0.0001,1e-05,detr_50_2d4_1d9
10.0,54.1317,0.17378,0.281299,0.464988,0.0906666,0.0406882,0.0906666,0.366,0.087691,0.280631,0.319583,0.0001,1e-05,detr_50_2d6_1d2
10.0,47.1125,0.145928,0.289256,0.496483,0.0902035,0.0385078,0.0902035,0.338,0.11901,0.280733,0.450726,0.0001,1e-05,detr_50_2d5_1d3
10.0,42.9085,0.149551,0.289444,0.443235,0.0621954,0.0358062,0.0621954,0.366,0.112373,0.287153,0.386823,0.0001,1e-05,detr_50_2d4_1d10
10.0,47.5303,0.11692,0.292581,0.357447,0.087126,0.0326468,0.087126,0.368,0.0991999,0.290744,0.382827,0.0001,1e-05,detr_50_2d5_1d2
8.0,41.084,0.13303,0.306171,0.4532,0.0644069,0.0309652,0.0644069,0.32,0.117207,0.300994,0.405132,0.0001,1e-05,detr_50_2d5_1d9
3.0,15.5852,0.158485,0.649531,0.592342,0.0512164,0.0292059,0.0512164,0.2,0.204787,0.485829,0.669545,0.0001,1e-05,detr_50_2d6_1d1
10.0,52.334,0.132088,0.286182,0.331387,0.0470581,0.0290646,0.0470581,0.414,0.0625562,0.28376,0.231062,0.0001,1e-05,detr_50_2d5_1d10
10.0,47.2969,0.128712,0.284675,0.406441,0.0460074,0.0273647,0.0460074,0.364,0.0876544,0.279327,0.334432,0.0001,1e-05,detr_50_2d5_1d6
9.0,42.7806,0.0900994,0.306013,0.326523,0.0386877,0.0264808,0.0386877,0.348,0.104795,0.297615,0.373235,0.0001,1e-05,detr_50_2d5_1d4
3.0,15.486,0.189444,0.609974,0.634599,0.0467296,0.0244147,0.0467296,0.2,0.242877,0.443605,0.712214,0.0001,1e-05,detr_50_2d6_1d000
10.0,55.5731,0.141471,0.28672,0.424005,0.0413205,0.0243832,0.0413205,0.382,0.0774762,0.286687,0.296633,0.0001,1e-05,detr_50_2d4_1d5
3.0,14.8875,0.199328,0.607143,0.615136,0.0373454,0.0224004,0.0373454,0.272,0.174832,0.462768,0.566898,0.0001,1e-05,detr_50_2d5_1d7
3.0,15.4527,0.143119,0.71699,0.527031,0.034842,0.021921,0.034842,0.236,0.127972,0.531285,0.456258,0.0001,1e-05,detr_50_2d5_1d8
3.0,12.9239,0.162074,0.697299,0.563154,0.0455407,0.02154,0.0455407,0.248,0.20269,0.480142,0.634746,0.0001,1e-05,detr_50_2d5_1d1
8.0,45.0313,0.129191,0.300734,0.428243,0.053638,0.0209702,0.053638,0.382,0.0915185,0.310011,0.336835,0.0001,1e-05,detr_50_2d4_1d6
3.0,17.1302,0.188799,0.656803,0.57453,0.0387374,0.0199855,0.0387374,0.176,0.239784,0.477352,0.752663,0.0001,1e-05,detr_50_2d6_1d3
6.0,34.1432,0.121011,0.347704,0.420225,0.0341315,0.0142959,0.0341315,0.256,0.147392,0.323081,0.521167,0.0001,1e-05,detr_50_2d6_1d5
10.0,46.6688,0.137829,0.295223,0.386936,0.047443,0.0134489,0.047443,0.34,0.092575,0.291334,0.394821,0.0001,1e-05,detr_50_2d4_1d8
2.0,7.65013,0.272327,1.08173,0.823231,0.0355374,0.0122905,0.0355374,0.26,0.147454,0.756442,0.552361,0.0001,1e-05,detr_50_2d8_1d1
4.0,17.5419,0.255057,0.412501,0.676973,0.0279787,0.010479,0.0279787,0.24,0.158451,0.377343,0.519234,0.0001,1e-05,detr_50_2d5_1d000
3.0,17.203,0.185833,0.730257,0.617464,0.0230083,0.0100464,0.0230083,0.252,0.221085,0.491766,0.708293,0.0001,1e-05,detr_50_2d6_1d6
4.0,18.7194,0.191165,0.48027,0.589507,0.0162627,0.00857779,0.0162627,0.294,0.169908,0.395404,0.599202,0.0001,1e-05,detr_50_2d5_1d5
4.0,21.8925,0.232519,0.472667,0.644297,0.0137357,0.00710901,0.0137357,0.284,0.1432,0.428256,0.499419,0.0001,1e-05,detr_50_2d6_1d4
3.0,16.7235,0.144309,0.718128,0.509231,0.0109163,0.0062076,0.0109163,0.306,0.147271,0.513123,0.513462,0.0001,1e-05,detr_50_2d4_1d4
