experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_npp_l2d0.04_l1d0.06_mask0.2_fpn16_19_22,246,6042.68,1.6038,0.96616,1.83519,0.93878,0.98755,0.98839,0.8615,1.27437,0.64953,1.91416,0.000656173,0.000656173,0.000656173
train_npp_l2d0.04_l1d0.06_mask0.3_fpn16_19_22,345,8461.49,1.32919,0.69207,1.73621,0.96457,0.95033,0.99206,0.86504,1.19715,0.56542,1.90425,0.000247716,0.000247716,0.000247716
train_npp_l2d0.04_l1d0.08_mask0.1_fpn16_19_22,346,8510.68,1.31274,0.7987,1.84168,0.97387,0.961,0.9909,0.8562,1.20676,0.57364,1.89583,0.00024359,0.00024359,0.00024359
train_npp_l2d0.04_l1d0.08_mask0.2_fpn16_19_22,361,8852.42,1.22632,0.68215,1.82146,0.98908,0.9375,0.98833,0.86935,1.17589,0.5452,1.88149,0.000181703,0.000181703,0.000181703
train_npp_l2d0.04_l1d0.08_mask0.3_fpn16_19_22,345,8470.78,1.33503,0.69251,1.75205,0.93848,1,0.995,0.86586,1.22616,0.54893,1.92166,0.000247716,0.000247716,0.000247716
train_npp_l2d0.04_l1d0.0_mask0.1_fpn16_19_22,372,9110.21,1.19921,0.74891,1.78418,0.99556,0.99719,0.995,0.87683,1.20925,0.46814,1.93321,0.000136319,0.000136319,0.000136319
train_npp_l2d0.04_l1d0.0_mask0.2_fpn16_19_22,347,8489.5,1.30285,0.68698,1.79195,0.97902,0.99135,0.995,0.87001,1.18755,0.51816,1.91005,0.000239465,0.000239465,0.000239465
train_npp_l2d0.04_l1d0.0_mask0.3_fpn16_19_22,326,8005.08,1.33664,0.79838,1.87206,0.97201,0.96875,0.99247,0.87488,1.21637,0.55466,1.92653,0.000326107,0.000326107,0.000326107
train_npp_l2d0.06_l1d0.02_mask0.1_fpn16_19_22,382,9382.85,1.3367,0.71777,1.80915,0.99296,1,0.995,0.87938,1.20979,0.49282,1.90977,9.50607e-05,9.50607e-05,9.50607e-05
train_npp_l2d0.06_l1d0.02_mask0.2_fpn16_19_22,328,8051.23,1.33958,0.77993,1.86418,0.98963,0.94802,0.995,0.87562,1.13996,0.51737,1.87967,0.000317855,0.000317855,0.000317855
train_npp_l2d0.06_l1d0.02_mask0.3_fpn16_19_22,312,7690.9,1.30677,0.73677,1.78528,0.94721,0.97307,0.99324,0.86537,1.17923,0.59967,1.89243,0.000383868,0.000383868,0.000383868
train_npp_l2d0.06_l1d0.04_mask0.1_fpn16_19_22,308,7574.19,1.43147,0.84693,1.85911,0.92772,0.96918,0.99324,0.85576,1.25465,0.62432,1.903,0.000400372,0.000400372,0.000400372
train_npp_l2d0.06_l1d0.04_mask0.2_fpn16_19_22,328,8058.34,1.31786,0.73846,1.85873,0.99428,0.90261,0.98633,0.86832,1.18092,0.55872,1.90858,0.000317855,0.000317855,0.000317855
train_npp_l2d0.06_l1d0.04_mask0.3_fpn16_19_22,239,5864.23,1.5108,0.97234,1.95338,0.96578,0.97435,0.98999,0.86581,1.19495,0.5938,1.89656,0.000685054,0.000685054,0.000685054
train_npp_l2d0.06_l1d0.06_mask0.1_fpn16_19_22,343,8431.95,1.25922,0.74296,1.7903,0.97536,0.97342,0.99286,0.8686,1.21045,0.55792,1.90793,0.000255968,0.000255968,0.000255968
train_npp_l2d0.06_l1d0.06_mask0.2_fpn16_19_22,390,9555.35,1.21734,0.76736,1.76082,0.9769,0.98015,0.99423,0.85902,1.22593,0.53607,1.91968,6.20541e-05,6.20541e-05,6.20541e-05
train_npp_l2d0.06_l1d0.06_mask0.3_fpn16_19_22,353,8677.18,1.33745,0.78227,1.78916,0.94008,0.98785,0.9907,0.86279,1.21492,0.56785,1.9016,0.00021471,0.00021471,0.00021471
train_npp_l2d0.06_l1d0.08_mask0.1_fpn16_19_22,340,8353.92,1.31263,0.7174,1.84726,0.97267,0.99559,0.99346,0.87112,1.2022,0.53309,1.87397,0.000268345,0.000268345,0.000268345
train_npp_l2d0.06_l1d0.08_mask0.2_fpn16_19_22,350,8594.6,1.3411,0.73836,1.8331,0.95797,0.95558,0.99175,0.86858,1.20404,0.6075,1.89102,0.000227087,0.000227087,0.000227087
train_npp_l2d0.06_l1d0.08_mask0.3_fpn16_19_22,341,8371.12,1.31866,0.6912,1.79956,0.95026,1,0.995,0.8704,1.21275,0.5604,1.88643,0.00026422,0.00026422,0.00026422
train_npp_l2d0.06_l1d0.0_mask0.1_fpn16_19_22,346,8473.05,1.36404,0.81544,1.85807,0.98164,1,0.995,0.86098,1.17337,0.52053,1.89421,0.00024359,0.00024359,0.00024359
train_npp_l2d0.06_l1d0.0_mask0.2_fpn16_19_22,387,9499.13,1.20578,0.74328,1.80114,0.95545,0.99643,0.99352,0.8652,1.2321,0.54454,1.94544,7.44316e-05,7.44316e-05,7.44316e-05
train_npp_l2d0.06_l1d0.0_mask0.3_fpn16_19_22,270,6638.86,1.5318,0.88131,1.9042,0.973,0.99226,0.99423,0.86752,1.27542,0.564,1.97543,0.000557153,0.000557153,0.000557153
train_npp_l2d0.08_l1d0.02_mask0.1_fpn16_19_22,239,5871.8,1.54055,0.90963,1.97751,0.94608,0.97829,0.99206,0.85824,1.2125,0.64202,1.8989,0.000685054,0.000685054,0.000685054
train_npp_l2d0.08_l1d0.02_mask0.2_fpn16_19_22,349,8568.95,1.35984,0.87767,1.81602,0.99316,1,0.995,0.86687,1.24831,0.4908,1.91716,0.000231213,0.000231213,0.000231213
train_npp_l2d0.08_l1d0.02_mask0.3_fpn16_19_22,239,5878.69,1.53992,0.94411,1.96818,0.91834,0.95103,0.98742,0.86367,1.20046,0.62716,1.92963,0.000685054,0.000685054,0.000685054
train_npp_l2d0.08_l1d0.04_mask0.1_fpn16_19_22,279,6851.99,1.40071,0.82024,1.8983,1,0.94549,0.99324,0.85519,1.24324,0.70305,1.93854,0.000520021,0.000520021,0.000520021
train_npp_l2d0.08_l1d0.0_mask0.1_fpn16_19_22,243,5969.31,1.6123,0.92322,1.94996,0.97582,0.94048,0.99144,0.86004,1.27826,0.6567,1.95698,0.00066855,0.00066855,0.00066855
train_npp_l2d0.08_l1d0.0_mask0.2_fpn16_19_22,237,5823.69,1.68901,0.92488,1.99903,0.98059,1,0.995,0.85339,1.31026,0.60997,1.93566,0.000693305,0.000693305,0.000693305
train_npp_l2d0.08_l1d0.0_mask0.3_fpn16_19_22,328,8066.59,1.31664,0.71218,1.85433,0.92933,0.96875,0.98496,0.86142,1.22191,0.58222,1.90853,0.000317855,0.000317855,0.000317855
train_npp_l2d0.0_l1d0.02_mask0.1_fpn16_19_22,299,7348.42,1.36814,0.84843,1.87103,0.92009,0.96665,0.98396,0.86944,1.21087,0.5991,1.93441,0.000437504,0.000437504,0.000437504
train_npp_l2d0.0_l1d0.02_mask0.2_fpn16_19_22,392,9621.83,0.98589,0.54418,1.71244,0.98693,0.99683,0.995,0.8682,1.21647,0.50612,1.92039,5.38024e-05,5.38024e-05,5.38024e-05
train_npp_l2d0.0_l1d0.02_mask0.3_fpn16_19_22,322,7884.73,1.36846,0.77308,1.86032,0.94964,0.98,0.98876,0.85645,1.27349,0.61226,1.93845,0.00034261,0.00034261,0.00034261
train_npp_l2d0.0_l1d0.04_mask0.1_fpn16_19_22,345,8473.2,1.30104,0.70748,1.75805,0.98596,0.96272,0.99324,0.86155,1.20678,0.56311,1.93211,0.000247716,0.000247716,0.000247716
train_npp_l2d0.0_l1d0.04_mask0.2_fpn16_19_22,277,6808.67,1.53638,0.79092,1.89209,0.93591,0.98564,0.99346,0.86583,1.22704,0.59998,1.92069,0.000528272,0.000528272,0.000528272
train_npp_l2d0.0_l1d0.04_mask0.3_fpn16_19_22,356,8746.79,1.31065,0.80887,1.79757,0.99273,1,0.995,0.86869,1.21454,0.51775,1.90819,0.000202332,0.000202332,0.000202332
train_npp_l2d0.0_l1d0.06_mask0.1_fpn16_19_22,320,7836.2,1.3822,0.74655,1.81817,0.94852,0.93468,0.98872,0.85493,1.25342,0.68907,1.92761,0.000350862,0.000350862,0.000350862
train_npp_l2d0.0_l1d0.06_mask0.2_fpn16_19_22,328,8050.45,1.34282,0.75009,1.86594,0.99703,0.92007,0.97978,0.84958,1.19624,0.63921,1.93211,0.000317855,0.000317855,0.000317855
train_npp_l2d0.0_l1d0.06_mask0.3_fpn16_19_22,377,9242.36,1.2199,0.72599,1.77076,0.96483,0.98,0.99423,0.87301,1.21449,0.54062,1.94563,0.00011569,0.00011569,0.00011569
train_npp_l2d0.0_l1d0.08_mask0.1_fpn16_19_22,371,9087.67,1.17272,0.68371,1.77193,0.97707,0.93158,0.98713,0.86188,1.20699,0.56142,1.86718,0.000140445,0.000140445,0.000140445
train_npp_l2d0.0_l1d0.08_mask0.2_fpn16_19_22,328,8047.24,1.32312,0.78563,1.84303,0.90737,0.99797,0.98933,0.85978,1.17089,0.60985,1.85052,0.000317855,0.000317855,0.000317855
train_npp_l2d0.0_l1d0.08_mask0.3_fpn16_19_22,324,7959.75,1.41609,0.81491,1.85805,0.9298,0.98932,0.98633,0.87591,1.1766,0.57029,1.88323,0.000334359,0.000334359,0.000334359
train_npp_l2d0.0_l1d0.0_mask0.1_fpn16_19_22,385,9448.17,1.19289,0.6408,1.81708,0.98167,0.99324,0.995,0.86473,1.20608,0.5068,1.91151,8.26832e-05,8.26832e-05,8.26832e-05
